@rowCount	1660
w	d	t	q
seldunja	se+dunja:  freezing point:   x1 = dunja2 (freezing point), x2 = dunja1 (freeze), x3 = dunja3 (freezing pressure)	jbo	NNPOMMTOONRKQJPOJOOMUMLPQSQRQMLNONONONLQOMPPQQPNPQNRJQTOONPOPQPNXMPNKSKQNJNRQLPRPNPOIOQOROOROLPQPNQOQQPOMMMMORNJOOLRMNRNQONQMOMONMQNNOMOHQJLPONNRMMPQOOPOQONOOOLKLSNQQOMNORPPKPRRRLPPNQQOPNQMMNKPSKOSPMOTQNLINQMJOQNKKNQJNMOQLMOMOLPNOSLPQNNPNSSNPJQNQNQOPSOOQKMOPKNPLLMRPSSTQPNOPNNKPPQJOLNNJSPSONLMLRRPJNJKTPPOROTONSUMNNSNRRONMNPPRNOPNOPPNPPPSMJMOMQPQOOUNLLQLMNQURPMNMNRTNNNPNQMPOOLONROPNO
terdunja	te+dunja:  freezing pressure:   x1 = dunja3 (freezing pressure), x2 = dunja2 (freezing point), x3 = dunja1 (freeze)	jbo	LOOPNNTPOORKQLOMIPPNTNMPQSQQQNKOMNMMNOLPOMPQRPPPPQNQKQUOPOOOPRPNXNONLRKROJPQRLOTQLOMHPRPSNORNMOOOMPNROOOMNNLNUNJOOKPJMRNRPLQMOMOMOPPPONOJQJMNMLNQNMPOTOPOQONOOOLJLRNRQRNOOTQPJOPQQMPNOPQOPOPMMOLORKPUPNNVPOMLNRNJOSPKLNPLPNOOKNONQMMOOQJQOOMOORRNPKPMPNRMPROQPKKPQKNRMMNSNSPQQRKPOQOKOPPLOMPPJTNQPMMOLRTQJOKKSPMNQNTONTTMNOTNPSONLMONROOQMOQROPQNQNJNPLOOSMNTOKMNKONQSRPMOLOQTNOMOMTNPPNLOMQORNP
seldu'u	se+dunku:  distressing:   x1 = dunku2 (distressing), x2 = dunku1 (anguished)	jbo	PNRPNNTQOLRMPLORNPMOSRNNQOPQSLOPQPNPPMMNRLOMPOMLPROPMQUNNPONNQTPSLOMLRMMMMIQPMPPONPOIOOMNQPNXQPOPMOQMTONMKKLNNMKQMOTPSTPSLNOOMKOSOONLMLOKQIOQOLPPONOOQONMMQKPOMNNNQPQPMPKNOPQMPOORKORROOOMNRPLNLQQMOPMLNPOOJLNRMKNNQNOMOIPMQQKOOLOIQQLUONQNMNOOPPRKQPPNOPQRLNSKPNSNNPKILORRUTMOONNNPNROOMNJPNLQSQMQOJJPNNKNMIRNOOOPRLOSVNNMRMRPONMMORQOOMONRNNTQSTMNNOOONQMOSMQQNJMQPPTQKOPPUQQKLJPONOQQMQNQSQPN
seldu'i	se+dunli:  equalled:   x1 = dunli2 (equalled), x2 = dunli1 (equal), x3 = dunli3 (equality property)	jbo	OPQOKKTJOORKQLQQKUMMRLMTPQQPSMNMQOMNNNPPNJQMLRPMQPNQKOSONRPMNMQORPPMKQMQMLMTRLOTKNPRMNMNOPPSTMSOQNSQOWNNMNNLKNOJQQMSRSRKQMPPPMLOMPPMKOONIRLPPNNQPMLNRNMOPNQNRNRMOPQPOQQPMORMQLPQSRLOPNQOMRNTNNOMNTMOTPNNNTOKLMQMJQROLKMNLMNOPNOOMOLPMLUKQSPLOOPSOQMPPTPPOPQNPQMKNMOKRMOPNMUTVOPPOLNMOORPOOMMMNRSPNPNMLPMMKLMKTQQPPOOMNSTOPLRMORONNLQOQONMMNRPNRNONMMNLMOQPMKROONRJMOPQRPLMMNSRPLILOMONONNQRQPQRO
terdu'i	te+dunli:  equality property:   x1 = dunli3 (equality property), x2 = dunli2 (equalled), x3 = dunli1 (equal)	jbo	LRPPLJTKOORJPNROJTMORKNTORQPRNMNNNLNMPONOKQMORPNQNNQMPUPPRPMOOQOSQOMLPMRMMOTUMOUKMOQMNNOOPQTSNQMQMQPOSOONNNJKOOIQQJRNRPJQMMOPLMOLSMOONOLKRKQNNMQPMLNQQKNPNQMQNRMPQQPNPSQNNRNQJOPSPMONOQPNSORNMPMLSLOUOOOPSQLNMRMIQRQLLLOMPOONNPOOPNOMMRIQRQMLONRQPMNOSOOMOPORQNJNOOKVNPQOKUQTPRMOLQMPORPRMONOMRRMOOOOKONNIMOKSRNNONOLNSRPNLTMMSONNLQOPPPNMOSQNRONLNMNLLMPQMLRNNOPJOOQPQPMOLOSRQNJLNPPNONOQRQORSO
seldunra	se+dunra:  year of winter:   x1 = dunra2 (year of winter), x2 = dunra1 (winter), x3 = dunra3 (winter location )	jbo	NPROMMQLNMRJPJOPIPPMUNNQPQNPOPNQROONOOMSOJRONPPOPUPQKQSPLOONNOPMVMOLJNLPKJLRPNPNQPQRKPNMPNNPTOOSQOTQPPLOLLKMKQNJPOOSPQTNPOPSMNNOPNPOMMNOJQKOQNQPQNNPPNQPRNOLNNTLNMSPSQOQLNQORMQQSRKNPNRQLOOPONPLOQOQQQNNSRQNNMQPIQQPLJOPMMNONLNONOLMMLPNPRONPLRRPQHQNQNNNNSNMQILPNKNPKMNPPVSTNMRQNOMMORPMQJNOLSQPLOLMNRMLLOMKVPPMROSONSSNNMPKRQORQNPQQPNOOQRPLPPNTMJMPMPOONNSMOMSHLMORRMMNPORQPLKKNPNQOOMNPPOPLO
terdunra	te+dunra:  winter location :   x1 = dunra3 (winter location ), x2 = dunra2 (year of winter), x3 = dunra1 (winter)	jbo	MPQPNMRMNOSJPLOOIPPMUNOQQQMQPPMRONMNNQMRPKSNOQPQQSRRLRSPMNPMOPPLWNMLKNLQLJORRNPPQOOQLPOOSNPQROMQQNRPPMMPLMKLJRNJPNNSMPRMOPNTMOPOOOPPOMOMMQKPOMPPQNMPNQPOSONLNOTKMNSORQRRMNSPSKQPQSLOONQRMOPOOMQKOOMQSQOMUQSMRMRNIQRRLINOLOMPMLOOPQNKLMOLQQNMOLRRQQHPMPMNLNRMOPIKQPKNRKNORNVQSOOORNRNLOQPOOKOPJTONMOMONROMJNMJUQMLRORONTRNMNRLOPOQPLPPQQOPNQRRMQRMQLJMPLOOQNOSMOMQIMNOQRMMOOPRRPKKLMQMPOOMMNPNQLO
seldze	se+dzena:  descendent:   x1 = dzena2 (descendent), x2 = dzena1 (elder), x3 = dzena3 (ancestral bond)	jbo	KQNLLLOQNNTIKMORLSNOSOROPRQRVLPNSPNONPONPOPLPNMSNSQMKSSPKOMPQPOMRMTONPOPONMSSNLHOQPRNQJMNQNQSNRSRQRPOUKPKOLNLMOKOPLMRQTMPNNNMLKORTLNKNLQEQHMQMMQOPPOORKNRNQONMNLNPPQRMNPOMNNOLQLRPMMQOKOLSPQOKMQQNKONPMLOQRNNNOPLQLNMPQNONNKSMPOLQOMPNROMLRPOLOSOOOOPSMPOQQRPRMNQQNQOKOMNRSUSROSNOOPPOQOPNNRPNSPQMMQKOQNKLPKJROMLPQSMLPUPNONPQROPMNMPPPPOONQNLRNORMKPPONNNPNSNOQQMPMQORNQKMPPNPONJQNMNINNUSMQOPN
terdze	te+dzena:  ancestral bond:   x1 = dzena3 (ancestral bond), x2 = dzena2 (descendent), x3 = dzena1 (elder)	jbo	JRMMMLPQNNTIKPOQKRNPSPRNPTQQWMPOQOMOMPNNPPPLQNLTOQRLLTSQLPLPQPPMRNTPOPNQONOSTNLIOOOQOQJNOQNSQOPRRQPPPSJPLPLNKONLPPJLOPSMPNMNMKLOQUKOMNLPGQHNPLMPNQQPNTJMSOQONMNKMPPQQLPPPMNOOLQMRONMPOIOMSQPOKNRPMKOOPMLRQTOONOPLPMPMQONQPNLQMQOMRPMQOOMOKSOMMNRONOMORKQLQQRQRMMRRNRPLONPQRTQSQQNPQQPNPOQNORQLSOOMMRLORPKMPLJQPKLPQRMNQTOLOOOPQOPMMLOOPQONOQOLRPNPMKPPNLNNPOSMOQOMQNQNQNQLMQPOQPMKPPMLHNNTRLQPPO
selzi'o	se+dzipo:  Antarctican aspect:   x1 = dzipo2 (Antarctican aspect), x2 = dzipo1 (Antarctican)	jbo	NROPNLRROOSKOPQMLPPPQMMOSTQRTMQQRPPNPNMOSPSPMQOUOONMJQTQMONMPOONSNOMLSMRLKKPQKQLOLOONQNLONQQUNPRQPPPRSLMLKONQONKPPMPRQRMMLNROLMOOQNQJPLRIQIMOQPOPPNRROMPOPPNONQMLTPOPPPQLMONVLRPTPMRRMPQMRNRONNMTQNLRONLTSPNKOROHPQLLOQMMMLKPMPOGOJOKNQNPPQMOLOROPKQOMOQQRWMPRKPNNJMKKKLNPTSQKNRNQKPMNROLRLOPOSORLNPMOSQLJLNOSQOMPPSMOPTPPMQOORONNNNQQLNMNNPOMQOPPLONNNOPPMMTONMPLMORPOLOLQPRQQMNNLNLMNPNPPSOQON
