@rowCount	5743
w	d	n	t
servant	[object Object]	(one who serves another, providing help in some manner)	n
serve	servir	(to work for)	v
server	[object Object]	(one who serves)	n
serve someone right	ser bem feito	(happen to someone who deserves it)	v
serve time	do time	(to be in prison)	v
Servian	{Serbian}		n
service	servir	(to serve)	v
service station	{gas station}		n
serviette	{napkin}		n
serving	[object Object]	(portion of food)	n
sesame	[object Object]	(seed)	n
session	[object Object]	(period devoted to a particular activity)	n
sesterce	{sestertius}		n
set	solidificarse	(to solidify)	v
Sete Cidades	[object Object]	(lake)	prop
set fire	atear fogo	(to light using fire)	v
set off	offset	(To offset)	v
set on fire	queimar, atear fogo, incendiar	(cause to begin to burn)	v
set phrase	expressão idiomática	(expression whose meanings cannot be inferred from the meanings of the words that make it up)	n
Setswana	{Tswana}		prop
sett	paralelepípedo	(paving stone)	n
setter	[object Object]	(volleyball player)	n
set-theoretic	[object Object]	(Of, relating to or using set theory)	adj
set theory	[object Object]	(mathematical theory of sets)	n
setting	ambiente	(time, place, circumstance)	n
settle down	acalmar-se	(to become quiet)	v
settlement	[object Object]	((finance) The delivery of goods by the seller and payment for them by the buyer)	n
settler	colono	(someone who settles in a new location, especially one who makes a previously uninhabited place his home)	n
set up	preparar	(to ready something for use)	v
set upon	atacar	(to attack)	v
Sevastopol	[object Object]	(city)	prop
seven	sete	(cardinal number 7)	num
seven deadly sins	[object Object]	(the cardinal sins)	n
seven hundred	[object Object]	(cardinal number 700)	num
sevennight	week	(period of seven consecutive days and nights)	n
seven o'clock	[object Object]	(the start of the eighth hour)	n
seventeen	dezassete, dezessete	(cardinal number)	num
seventeenth	décimo sétimo	(ordinal number)	num
seventh	[object Object]	(something in the seventh position)	n
seventh grade	[object Object]	(period in school that comes after sixth grade and before eighth grade)	n
seventh heaven	sétimo céu	(state of great joy and satisfaction)	n
seven thousand	sete mil	(7,000)	num
seventieth	[object Object]	(the person or thing in the seventieth position)	n
seventy	setenta	(cardinal number)	num
seventy-eight	setenta e oito	(78)	num
seventy-five	setenta e cinco	(75)	num
seventy-four	setenta e quatro	(74)	num
seventy-nine	setenta e nove	(79)	num
seventy-one	setenta e um	(71)	num
seventy-seven	setenta e sete	(77)	num
seventy-six	setenta e seis	(76)	num
seventy-three	setenta e três	(73)	num
seventy-two	setenta e dois	(72)	num
seven virtues	sete virtudes	(seven virtues)	n
sever	cortar	(to cut free)	v
several	diverso, distinto	(obsolete: separate, distinct)	determiner
severance	severance pay	(severance payment)	n
severance payment	severance pay	(money paid to employee in case of layoff)	n
severe	severo	(very bad or intense)	adj
severed	cortado	(cut off or broken apart)	adj
severity	[object Object]	(state of being severe)	n
Seville	[object Object]	(city in Spain)	prop
sew	costurar, coser	((transitive) use a needle)	v
sewage	[object Object]	(suspension of water and waste)	n
sewed	cosido	(past tense of sow)	v
sewer	[object Object]	(pipes used to remove human waste and to provide drainage)	n
sewerage	{sewage}		n
sewing	[object Object]	(action of the verb to sew)	n
sewing machine	[object Object]	(device)	n
sex	[object Object]	(gender (female or male))	n
sex appeal	[object Object]	(sexual attractiveness)	n
sex bomb	[object Object]	(someone highly sexy)	n
sex, drugs and rock 'n' roll	sexo, drogas e rock and roll	(indulgent and pleasurable activities)	n
sex education	[object Object]	(sex education)	n
sexism	[object Object]	(gender discrimination or dislike)	n
sexist	descriminação/preconceito sexual	(a person who discriminates on grounds of sex)	n
sexology	[object Object]	(The study of sex and sexuality)	n
sex organ	[object Object]	(organ used in sexual reproduction)	n
sex slave	[object Object]	(person forced into being available for sex)	n
sex symbol	[object Object]	(person with sexual ideals)	n
Sextans	Sextans	(dim spring constellation of the northern sky)	prop
sexton	[object Object]	(church official)	n
sex toy	[object Object]	(sex aid)	n
sexual	sexuado	(of or relating to the sex of an organism)	adj
sexual abuse	[object Object]	(forcing of undesired sexual activity by one person on another)	n
sexual harassment	[object Object]	(sexual harassment)	n
sexual intercourse	[object Object]	(sexual interaction)	n
sexuality	[object Object]	(that which is characterized or distinguished by sex)	n
sexualization	[object Object]		n
sexually	sexualmente	(with respect to sex (division))	adv
sexually transmitted disease	[object Object]	(disease contracted through sexual contact)	n
sexual orientation	[object Object]	(sexual orientation)	n
sexual predator	[object Object]	(person seen as threatening for wanting sex)	n
sexual reproduction	reprodução sexuada	(process whereby a new organism created by combining the genetic material of two organisms)	n
sexual slavery	[object Object]	(criminal activity)	n
sexy	[object Object]	(having sexual appeal)	adj
Seychelles	Seicheles	(country in East Africa)	prop
Seychellois	[object Object]	(Someone from the Seychelles of Seychellois descent)	n
Sfax	[object Object]	(Tunisian city)	prop
shabby	estropiado, esfarrapado, esbodegado	(torn or worn; poor; mean; ragged)	adj
shack	[object Object]	(crude hut)	n
shackle	[object Object]	(a U-shaped piece of metal)	n
shackles	[object Object]	(paired wrist or ankle restraints)	n
shadbush	{serviceberry}		n
shade	sombrear	(to shield from light)	v
shadow	[object Object]	(type of lettering form)	n
shadow-box	{shadowbox}		v
shadowbox	{diorama}		n
shaft	[object Object]	(vertical passage housing a lift)	n
shag	[object Object]	(sea bird)	n
shah	[object Object]	(king of Persia)	n
shahada	[object Object]	(Islamic declaration of belief)	n
shaheed	{martyr}		n
shake	evadir	(transitive: to lose, evade)	v
shake hands	apertar as mãos	(grasp another person's hands)	v
Shakespeare	[object Object]	(English playwright)	prop
shale	xisto	(sedimentary rock)	n
shall	Use the imperative tense of the verb or present indicative of ir + the infinitive	(in questions to suggest a possible future action)	v
shallot	[object Object]	(vegetable in the onion family)	n
shallow	raso, rasa	(shallow portion of an otherwise deep body of water)	n
shalom	shalom	(transliteration of the Jewish greeting or farewell)	interj
shalwar	[object Object]	(garment)	n
shaman	xamã	(a medium between the concrete and spirit worlds)	n
shamanism	[object Object]	(range of traditional beliefs)	prop
shame	envergonhar	(to cause to feel shame)	v
shameful	vergonhoso	(causing or meriting shame or disgrace)	adj
shameless	desavergonhado, sem-vergonha	(having no shame)	adj
shamelessly	desavergonhadamente, impudentemente	(in a shameless manner)	adv
shampoo	[object Object]	(product for washing the hair or other fibres)	n
shamrock	clover	(any of several small plants, forms of clover)	n
Shanghai	Xangai	(Chinese city)	prop
shank	[object Object]	(lower part of the leg)	n
shantytown	[object Object]	(area containing a collection of shacks and shanties)	n
shape	modelar	(to give something a shape)	v
shape-shifter	[object Object]	(a person who can transform)	n
sharaga	{sharashka}		n
shard	[object Object]	(piece)	n
share	compartilhar	(to tell to another)	v
sharecropper	[object Object]	(a farmer paying rent with crops to the landowner)	n
shared	compartilhado	(used multiply)	adj
shareholder	[object Object]	(one who owns shares of stock)	n
shari'a	[object Object]	(Islamic religious law)	n
shark	[object Object]	(scaleless cartilaginous fish)	n
shark fin soup	[object Object]	(soup made from shark fins)	n
sharp	[object Object]	(sign for a sharp note on the staff)	n
sharpen	afiar [of a blade], apontar [of a point]	(to make sharp)	v
sharpener	apontador	(device for making things sharp)	n
sharper	malandro	(cheat, card-sharper)	n
shashlik	[object Object]	(skewered dish)	n
shatter	estilhaçar	(to violently break something into pieces)	v
shave	barbear-se	(to remove hair from one's face)	v
shaver	{sharper}		n
shaw	{thicket}		n
shawarma	[object Object]	(Middle Eastern sandwich-like wrap)	n
shawl	[object Object]	(a square piece of cloth worn as a covering for the head, neck, and shoulders)	n
she	ela	(person)	pron
shea	[object Object]	(tree)	n
sheaf	feixe	(mathematical construct)	n
shear	tosar, tosquiar	(to remove the fleece from a sheep)	v
shears	[object Object]	(tool consisting of two blades with bevel edges)	n
she-ass	[object Object]	(female ass, female donkey, jenny)	n
sheath	[object Object]	(scabbard)	n
sheathe	embainhar, abainhar	(to put something, such as a knife, into a sheath)	v
she-bear	[object Object]	(a female bear)	n
she-cat	[object Object]	(a female cat)	n
she could be his mother	ela poderia ser a mãe dele	(woman older than man)	phrase
shed	verter	(to pour; to make flow)	v
shed light on	lançar luz sobre	(to illuminate)	v
sheen	[object Object]	(splendor; radiance; shininess)	n
sheep	[object Object]	(shy person)	n
sheepdog	[object Object]	(dog used for herding sheep)	n
sheepherder	{shepherd}		n
sheeple	[object Object]	(the sheeple, one of the sheeple)	n
sheer	fino	(very thin or transparent)	adj
sheet	[object Object]	(sheet of paper)	n
sheet music	[object Object]	(hand-written or printed form of musical notation)	n
sheik	[object Object]	(leader of an Arab village, family or small tribe)	n
shekel	{sheqel}		n
shelf	[object Object]	(structure)	n
shelf life	validade, duração	(the length of time a product will last without deteriorating)	n
shell	vagem	(pod)	n
shellfish	[object Object]	(aquatic food that has a shell)	n
shelter	proteger, refugiar	(transitive, to provide cover)	v
shemale	travesti	(a male-to-female transsexual or transgender person)	n
shenanigan	{shenanigans}		n
Shenzhen	[object Object]	(a city in China)	prop
shepherd	conduzir, guiar	(watch over; guide)	v
sheqel	[object Object]	(currency unit in Israel)	n
sherbet	[object Object]	(frozen fruit juice)	n
shereef	xarife	(formerly, a member of an Arab princely family)	n
Sheremetyevo	[object Object]	(airport in Russia)	prop
sheriff	[object Object]	(all meanings)	n
sherry	[object Object]	(fortified wine)	n
she's unconscious	ela está inconsciente	(she's unconscious)	phrase
she-tiger	{tigress}		n
Shetland	{Shetland Islands}		prop
Shetland Islands	[object Object]	(group of islands)	prop
she-wolf	loba	(female wolf)	n
shh	psiu	(requesting silence)	interj
Shi'a	[object Object]	(follower of Shi'a Islam)	n
shield	proteger	(to protect, to defend)	v
shield volcano	[object Object]	(volcano)	n
shift	mover	(to move from one place to another)	v
Shiite	[object Object]	(follower of Shi'a Islam)	n
shilling	[object Object]	(former coin)	n
Shimla	[object Object]	(capital of Himachal Pradesh, India)	prop
Shimon	Simeon	(male given name)	prop
Shimshon	Samson	(given name)	prop
shin	[object Object]	(front part of the leg below the knee)	n
shinbone	[object Object]	(tibia)	n
shine	cintilar	(to reflect light)	v
shiner	{black eye}		n
shingle	telhar, entelhar	(to cover with shingles (building material))	v
shingles	[object Object]	(herpes zoster)	n
shinkansen	{bullet train}		n
shin splint	[object Object]	(painful inflammation of muscles in the shins)	n
Shinto	[object Object]	(religion)	prop
Shintoism	{Shinto}		prop
shiny	reluzente	(reflecting light)	adj
ship	embarcar	(to send by water-borne transport)	v
-ship	[object Object]	(Property or state of being)	suffix
shipwreck	[object Object]	(An event where a ship sinks or runs aground.)	n
shipyard	estaleiro	(place to build and repair ships)	n
Shiraz	[object Object]	(a city in southern Iran)	prop
shire	[object Object]	(former administrative area of Britain; a county)	n
shirt	[object Object]	(article of clothing)	n
shit	cagar	(vulgar slang: to excrete (something) through the anus)	v
shit ass	{shitass}		n
shit-for-brains	sem cérebro	(Very stupid)	adj
shit happens	such is life	(expression of acceptance of misfortune)	phrase
shithead	cabeça de merda	(stupid or contemptible person)	n
shit out of luck	sem sorte nenhuma; totalmente ferrado [slang]	(In unfortunate circumstances)	adj
shitter	privada, vaso	(toilet)	n
shitty	merdoso	(very bad; unpleasant; miserable; insignificant)	adj
Shiva	[object Object]	(deity)	prop
shive	{shiva}		n
shiver	tiritar, tremer	(to tremble or shake)	v
Shlomo	Solomon	(given name)	prop
shoal	banco de areia	(sandbank)	n
shock	eletrocutar	(to give an electric shock)	v
shocked	[object Object]	(surprised, startled, confuded)	adj
shock wave	[object Object]	(A powerful compression wave)	n
shoe	calçar	(To put shoes on one's feet)	v
shoeblack	{shoeshiner}		n
shoehorn	calçar com calçadeira	(to use a shoehorn)	v
shoelace	[object Object]	(for fastening a shoe)	n
shoemaker	[object Object]	(a person who makes shoes)	n
shoe polish	[object Object]	(product used to make shoes shine)	n
shoeshine	[object Object]	(the act of polishing shoes)	n
shoeshine boy	{shoeshiner}		n
shoeshine girl	{shoeshiner}		n
shoetree	shoe tree	(device to preserve the shape of a shoe)	n
shogun	[object Object]	(shogun)	n
shoo	{usher}		v
shoot	atirar	(to hit with a shot)	v
shooting	[object Object]	(the sport or activity of firing a gun)	n
shooting star	[object Object]	(meteor)	n
shoot one's mouth off	falar merda	(make reckless or exaggerated statements)	v
shootout	[object Object]	(decisive battle)	n
shoot the shit	shoot the breeze	(chat casually)	v
shop	ir às compras	(to visit shops)	v
shop assistant	[object Object]	(shop employee)	n
shopkeeper	[object Object]	(trader who sells goods in a shop)	n
shoppe	{shop}		n
shopping	[object Object]	(things bought)	n
shopping cart	[object Object]	(conveyance used to carry items while shopping)	n
shopping center	{shopping centre}		n
shopping centre	[object Object]	(large retail outlet)	n
shopping mall	{shopping centre}		n
shopping trolley	{shopping cart}		n
shop window	[object Object]	(large window at the front of a shop)	n
shore	shore up	(support)	v
shore bird	{shorebird}		n
shore pine	{lodgepole pine}		n
short	{shortchange}		v
shortage	[object Object]	(lack or deficiency)	n
short circuit	[object Object]	(an unintentional connection of low resistance or impedance in a circuit)	n
shortcoming	deficiência, limitação	(deficiency)	n
shortcut	atalho	(path)	n
shorten	encurtar	(to make shorter)	v
shortfall	[object Object]	(An instance of not meeting a quota or of having an insufficient amount)	n
shortie	[object Object]	(something or someone that is shorter than normal)	n
short of	{except}		phrase
shorts	short	(plural of short)	n
short-sighted	{myopic}		adj
short story	[object Object]	(work of fiction)	n
short-tailed hawk	gavião-de-cauda-curta	(Buteo brachyurus)	n
short-term	a curto prazo	(of the near or immediate future)	adj
shorty	[object Object]	(a short person)	n
shot	[object Object]	(result of launching a projectile)	n
Shota	Shota	(male given name)	prop
shotgun	[object Object]	(gun)	n
shot put	[object Object]	(athletics event)	n
should	se, caso	(If; in case of)	v
shoulder	carregar nas costas	(carry (something) on one's shoulders)	v
shoulder blade	[object Object]	(bone)	n
shoulder joint	{glenohumeral joint}		n
shoulder pole	{carrying pole}		n
shout	gritar	(to utter a sudden and loud outcry)	v
shove	empurrar	(push roughly)	v
shove it up your ass	no teu cu	(exclamation of contempt (vulgar))	v
shovel	[object Object]	(tool for moving portions of material)	n
show	demonstrar	(to indicate (a fact) to be true)	v
shower	regar	(to spray with)	v
shower cap	[object Object]	(waterproof headgear worn in shower)	n
shower gel	[object Object]	(gel shower soap)	n
showman	impresario	(person who produces or presents shows as a profession)	n
show off	mostrar-se, jactar-se	(to exhibit, to demonstrate something for the purpose of bragging)	v
showoff	[object Object]	(person who attempts to demonstrate prowess or ability)	n
show of hands	[object Object]	(A vote by raising a hand)	n
show up	aparecer		v
showy	mirabolante	(for show)	adj
shrapnel	{loose change}		n
shred	trinchar	(to cut or tear into narrow pieces or strips)	v
shredder	[object Object]	(machine that tears up objects into smaller pieces)	n
shrew	[object Object]	(woman)	n
shrewd	[object Object]	(showing clever resourcefulness in practical matters)	adj
shriek	guinchar	(to utter a loud, sharp, shrill sound or cry)	v
shrike	[object Object]	(Any of various passerine birds of the family Laniidae which are known for their habit of catching other birds and small animals and impaling the uneaten portions of their bodies on thorns)	n
shrill	agudo	(Sharp or keen to the senses)	adj
shrimp	[object Object]	(decapod crustacean)	n
shrine	{enshrine}		v
shrink	encolher, contrair	(intransitive: to contract, to become smaller)	v
shrive	{confess}		v
shrivel	enrugar	(become wrinkled)	v
shroud	[object Object]	(dress for the dead)	n
shrub	[object Object]	(woody plant)	n
shrug	dar de ombros, encolher os ombros	(to raise the shoulders to express uncertainty, lack of concern, etc.)	v
shudder	tremer, tiritar	(to shake nervously, as if from fear)	v
shuffle	embaralhar	(to put in a random order)	v
shufti	{glance}		n
shun	evitar	(to avoid)	v
shut	fechar	(to close)	v
shutter	[object Object]	(protective panels over windows)	n
shuttle	[object Object]	(transport service)	n
shuttlecock	ricochetear	(to move rapidly back and forth)	v
shut up	calar	(transitive: to stop (a person) from talking or (a person or thing) from making noise)	v
shvitz	{sweat}		n
shy	shy away	(to avoid due to timidness or caution)	v
shylock	{loan shark}		n
si	[object Object]	(seventh note of a major scale)	n
Siam	[object Object]	(the former name of Thailand)	prop
Siamese	siamês	(Thai)	adj
Siamese cat	[object Object]	(mammal)	n
sib	{sibling}		n
Siberia	[object Object]	(region of Russia)	prop
Siberian Husky	[object Object]	(Siberian Husky dog)	n
Siberian tiger	[object Object]	(Panthera tigris altaica)	n
